
> realm-awakened@0.1.0 dev D:\code\Realm-Awakened
> vite --host 127.0.0.1 "--host" "127.0.0.1" "--port" "5173"


  VITE v6.4.3  ready in 538 ms

  ➜  Local:   http://127.0.0.1:5173/
  ➜  press h + enter to show help
12:16:54 [vite] (client) page reload src/timeline.js
12:21:04 [vite] (client) page reload index.html
12:21:04 [vite] (client) page reload src/main.js
13:09:55 [vite] (client) page reload src/timeline.js
13:10:08 [vite] (client) page reload src/main.js
13:10:19 [vite] (client) page reload src/main.js
13:10:58 [vite] (client) page reload src/main.js
13:10:59 [vite] (client) page reload src/main.js
13:14:45 [vite] (client) page reload src/main.js
13:16:18 [vite] (client) page reload src/timeline.js
13:16:19 [vite] (client) page reload src/main.js
15:41:46 [vite] (client) page reload src/timeline.js
15:45:47 [vite] (client) page reload src/main.js
15:46:17 [vite] (client) page reload src/main.js
15:46:41 [vite] (client) page reload src/main.js
15:47:04 [vite] (client) page reload src/main.js
15:47:43 [vite] (client) page reload src/main.js
15:48:03 [vite] (client) page reload src/main.js
15:48:17 [vite] (client) page reload index.html
15:48:26 [vite] (client) hmr update /src/style.css
